South Kensington      ,             0.149741,             0.115825,          1178.640388,           837.398442,
Sloane Square         ,             0.165510,             0.116460,          1229.410030,           838.478647,
Victoria              ,             0.179372,             0.116333,          1259.295707,           848.920631,
St James Park         ,             0.194632,             0.117223,          1281.259878,           868.364324,
Westminster           ,             0.210274,             0.116333,          1299.263298,           877.005965,
Temple                ,             0.283907,             0.118877,          1326.988564,           906.891641,
Blackfriars           ,             0.297514,             0.117986,          1352.913488,           906.171505,
Mansion House         ,             0.309595,             0.122692,          1367.316223,           904.371163,
Cannon House          ,             0.320913,             0.134392,          1379.918617,           903.651026,
Monument              ,             0.352452,             0.150288,          1392.881079,           901.130547,
Tower Hill            ,             0.377377,             0.149779,          1420.246277,           908.691983,
Aldgate               ,             0.383482,             0.156647,          1412.684840,           928.855813,
Aldgate East          ,             0.400268,             0.150034,          1435.009081,           940.738070,
Moorgate              ,             0.342405,             0.195179,          1380.998822,           937.857523,
Aldersgate            ,             0.326000,             0.195179,          1361.195061,           940.738070,
Farringdon            ,             0.309595,             0.194671,          1338.870821,           950.459916,
Kings Cross St Pancras,             0.286831,             0.194035,          1303.224050,           977.104977,
Euston Square         ,             0.242576,             0.193399,          1281.259878,           963.062310,
Great Portland Street ,             0.224263,             0.192509,          1256.055091,           955.140805,
Knightsbridge         ,             0.163928,             0.133591,          1217.750408,           868.649193,
Hyde Park Corner      ,             0.184108,             0.132771,          1230.982922,           878.100988,
Green Park            ,             0.202155,             0.132443,          1253.127128,           892.413706,
Leicester Square      ,             0.265156,             0.132771,          1290.664257,           914.827964,
Covent Garden         ,             0.280742,             0.146553,          1300.656155,           924.009707,
Russel Square         ,             0.293867,             0.181498,          1305.517078,           953.445298,
Caledonian Road       ,             0.313227,             0.222186,          1306.867335,          1053.364276,
Holloway Road         ,             0.322907,             0.232358,          1320.369899,          1065.786636,
Arsenal               ,             0.333243,             0.242694,          1338.733387,          1090.091252,
Finsbury Park         ,             0.346696,             0.255327,          1332.522207,          1113.855766,
Manor House           ,             0.346532,             0.267304,          1351.965900,          1131.409100,
Turnpike Lane         ,             0.346532,             0.279937,          1340.893797,          1204.322948,
Wood Green            ,             0.346368,             0.291749,          1323.340464,          1234.568693,
Bounds Green          ,             0.346532,             0.303398,          1285.533283,          1268.595156,
Arnos Grove           ,             0.346368,             0.316031,          1256.367743,          1301.541413,
Southgate             ,             0.347024,             0.328008,          1269.330205,          1354.741518,
Oakwood               ,             0.346040,             0.340641,          1266.359641,          1409.291879,
Cockfosters           ,             0.345548,             0.351305,          1224.771742,          1425.765008,
Edgware               ,             0.257162,             0.350765,           944.224012,          1273.112310,
Burnt Oak             ,             0.256688,             0.342107,           964.387842,          1237.105471,
Colindale             ,             0.257637,             0.330958,           998.234271,          1209.740274,
Heldon Central        ,             0.257281,             0.320639,          1057.285486,          1170.132751,
Brent Cross           ,             0.257400,             0.310202,          1086.090957,          1148.168579,
Golders Green         ,             0.257637,             0.299290,          1134.340122,          1129.445023,
Hampstead             ,             0.257993,             0.289446,          1176.828191,          1080.115653,
Belsize Park          ,             0.257874,             0.278653,          1208.154141,          1055.631003,
Chalk Farm            ,             0.257162,             0.267266,          1218.596125,          1043.028609,
Kentish Town          ,             0.270684,             0.266792,          1260.724126,          1048.429635,
Tufnell Park          ,             0.279935,             0.273790,          1266.485220,          1085.516679,
Archway               ,             0.288000,             0.283990,          1266.125152,          1112.521809,
Highgate              ,             0.299979,             0.296206,          1244.521049,          1147.808511,
East Finchley         ,             0.299386,             0.305576,          1191.951064,          1191.016717,
Finchley Central      ,             0.299386,             0.315539,          1130.739438,          1232.784650,
Mill Hill East        ,             0.283967,             0.321232,          1086.090957,          1264.110600,
West Finchley         ,             0.300454,             0.324909,          1136.500532,          1271.311968,
Woodside Park         ,             0.299861,             0.333804,          1144.061968,          1298.677166,
Totteridge & Whetstone,             0.299742,             0.343174,          1154.864020,          1354.127698,
High Barnet           ,             0.298437,             0.352781,          1119.937386,          1420.740350,
Camden Town           ,             0.258230,             0.254457,          1252.082485,          1021.064438,
Mornington Crescent   ,             0.257874,             0.238801,          1266.485220,           996.219719,
Euston                ,             0.258823,             0.218638,          1274.046657,           969.934726,
Warren Street         ,             0.258111,             0.198001,          1269.005699,           947.250418,
Goodge Street         ,             0.259297,             0.176770,          1275.126862,           942.209460,
Angel                 ,             0.319905,             0.207489,          1338.138830,           989.378419,
OldStreet             ,             0.335917,             0.207726,          1377.026216,           967.414248,
Essex Road            ,             0.347659,             0.222196,          1357.582523,          1027.905737,
Highbury & Islington  ,             0.347303,             0.231210,          1343.539856,          1049.509840,
Drayton Park          ,             0.346829,             0.240580,          1338.138830,          1065.352850,
Kennington            ,             0.260246,             0.071329,          1345.340198,           822.306687,
Oval                  ,             0.260009,             0.063501,          1326.256573,           799.262310,
Stockwell             ,             0.260009,             0.055792,          1305.732675,           765.415881,
Clapham North         ,             0.260365,             0.046778,          1289.169529,           735.530205,
Clapham Common        ,             0.260839,             0.039069,          1264.684878,           721.127470,
Clapham South         ,             0.259772,             0.031834,          1249.922074,           691.601862,
Balham                ,             0.260483,             0.023057,          1243.080775,           654.154749,
Borough               ,             0.348963,             0.093746,          1371.625190,           868.755509,
London Bridge         ,             0.348133,             0.114621,          1383.867515,           881.717971,
