State	MotorVehicleTheft
Alabama	0.00040718543886352106
Alaska	0.0001350202942668696
Arizona	0.0006043252156265854
Arkansas	0.00022999112125824455
California	0.0053396435819381026
Colorado	0.0006932077625570776
Connecticut	0.00023176686960933536
Delaware	0.00004341070522577372
Florida	0.0013607940131912734
Georgia	0.0008327942668696093
Hawaii	0.0001670788939624556
Idaho	0.0000680492135971588
Illinois	0.0006621321664129884
Indiana	0.0004883625063419584
Iowa	0.00017690892947742264
Kansas	0.00024879502790461694
Kentucky	0.00032483510908168443
Louisiana	0.0003476027397260274
Maine	0.000025145865043125317
Maryland	0.0004302384576357179
Massachusetts	0.00023909183155758498
Michigan	0.0006206557584982242
Minnesota	0.0003164320142059868
Mississippi	0.0001468480466768138
Missouri	0.0006316907661085743
Montana	0.00008219178082191781
Nebraska	0.00016498604769152716
Nevada	0.0004062658548959919
New Hampshire	0.000029014459665144598
New Jersey	0.00038590816844241504
New Mexico	0.0003732876712328767
New York	0.0004252283105022831
North Carolina	0.0005009512937595129
North Dakota	0.000056221461187214614
Ohio	0.0006422184170471842
Oklahoma	0.0003884766615930999
Oregon	0.000543505834601725
Pennsylvania	0.00041175164890918314
Rhode Island	0.000047025621511922885
South Carolina	0.0004520865043125317
South Dakota	0.00004385464231354642
Tennessee	0.0005873921867072552
Texas	0.0021575659563673262
Utah	0.0003021626078132927
Vermont	6.1516996448503295e-6
Virginia	0.0003225520040588534
Washington	0.000913115169964485
West Virginia	0.00009519279553526129
Wisconsin	0.0003002283105022831
Wyoming	0.000024701927955352614
