State	Burglary
Alabama	0.000998129122272958
Alaska	0.0001322615423642821
Arizona	0.0011931443429731101
Arkansas	0.0006932394723490613
California	0.005602803145611365
Colorado	0.0007233954845256215
Connecticut	0.00028190005073566715
Delaware	0.0001258878741755454
Florida	0.002817510147133435
Georgia	0.0017558980213089803
Hawaii	0.00017595763571790968
Idaho	0.00017931887366818875
Illinois	0.0013780758498224252
Indiana	0.0009557331303906647
Iowa	0.00047812024353120243
Kansas	0.00044174911212582443
Kentucky	0.0006403792491121258
Louisiana	0.0010865360223236936
Maine	0.00010572044647387114
Maryland	0.0007454337899543379
Massachusetts	0.000541888635210553
Michigan	0.0011301686960933537
Minnesota	0.0005957318619989853
Mississippi	0.0007835489599188229
Missouri	0.0009538622526636225
Montana	0.00011463089802130899
Nebraska	0.0002052257737189244
Nevada	0.0006357496194824962
New Hampshire	0.00008162100456621005
New Jersey	0.0007575786402841197
New Mexico	0.0005681443429731101
New York	0.001109906139015728
North Carolina	0.0020543505834601725
North Dakota	0.00009329020801623542
Ohio	0.0018573376458650432
Oklahoma	0.0009071537290715373
Oregon	0.000561421867072552
Pennsylvania	0.0010165208016235413
Rhode Island	0.00010201040081177068
South Carolina	0.000992706747843734
South Dakota	0.00008583840690005074
Tennessee	0.0012276763064434297
Texas	0.004251204972095383
Utah	0.0003747146118721461
Vermont	0.00005878995433789954
Virginia	0.0005856164383561644
Washington	0.0013863521055301877
West Virginia	0.00024188229325215627
Wisconsin	0.0005580606291222729
Wyoming	0.000050513698630136986
