State	ForcibleRape
Alabama	0.00006430745814307458
Alaska	0.00002736555048198884
Arizona	0.00011355276509386099
Arkansas	0.0000651002029426687
California	0.00046679984779299846
Colorado	0.00012233637747336378
Connecticut	0.00002654109589041096
Delaware	0.000010591070522577372
Florida	0.0002517757483510908
Georgia	0.00008618721461187214
Hawaii	0.00001797945205479452
Idaho	0.000022418822932521563
Illinois	0.00017617960426179603
Indiana	0.00008323820395738203
Iowa	0.0000391298833079655
Kansas	0.000051591831557584985
Kentucky	0.00005266996448503298
Louisiana	0.000059202181633688484
Maine	0.000014998731608320649
Maryland	0.00005362125824454591
Massachusetts	0.0000696664129883308
Michigan	0.0002229515474378488
Minnesota	0.00007562785388127854
Mississippi	0.000034595383054287166
Missouri	0.00008653602232369355
Montana	0.00001943810248604769
Nebraska	0.00003776636225266362
Nevada	0.00005993150684931507
New Hampshire	0.00002102359208523592
New Jersey	0.0000477232369355657
New Mexico	0.00003992262810755962
New York	0.00020053272450532724
North Carolina	0.00008609208523592085
North Dakota	0.00001265220700152207
Ohio	0.0001857876712328767
Oklahoma	0.00006792237442922374
Oregon	0.00006338787417554541
Pennsylvania	0.00013321283612379502
Rhode Island	0.000014110857432775241
South Carolina	0.00007940131912734652
South Dakota	0.00001886732623033993
Tennessee	0.00009303652968036529
Texas	0.00045884069000507355
Utah	0.000053811516996448504
Vermont	6.91273465246068e-6
Virginia	0.00009075342465753425
Washington	0.00010321537290715373
West Virginia	0.000025209284627092845
Wisconsin	0.00006782724505327245
Wyoming	8.339675291730086e-6
