State	MedianHouseholdIncome
Alabama	0.0014736174530695079
Alaska	0.0024135591070522577
Arizona	0.001696790969051243
Arkansas	0.0013893011161846779
California	0.0021299150177574834
Colorado	0.0020756595636732622
Connecticut	0.002339580162354135
Delaware	0.0019988584474885844
Florida	0.0016134893455098933
Georgia	0.0016798896499238965
Hawaii	0.0023757927447995942
Idaho	0.0016167237442922375
Illinois	0.0019415588533739218
Indiana	0.0016546803652968036
Iowa	0.0017938229325215626
Kansas	0.001759164129883308
Kentucky	0.001475615169964485
Louisiana	0.001481164383561644
Maine	0.0016813800101471335
Maryland	0.002502409944190766
Massachusetts	0.002351820142059868
Michigan	0.0016700913242009134
Minnesota	0.0020833016235413497
Mississippi	0.0013320966514459665
Missouri	0.0016343860984271944
Montana	0.0016108891425672248
Nebraska	0.001797152460679858
Nevada	0.0017578006088280061
New Hampshire	0.0022610667174023337
New Jersey	0.002425006341958397
New Mexico	0.001481418061897514
New York	0.0019902650938609843
North Carolina	0.001595636732623034
North Dakota	0.0019433346017250128
Ohio	0.0016618150684931507
Oklahoma	0.0015781012176560123
Oregon	0.0017795218163368849
Pennsylvania	0.001805904363267377
Rhode Island	0.0019356608320649418
South Carolina	0.0015468353627600203
South Dakota	0.001716324200913242
Tennessee	0.0015445205479452054
Texas	0.0018090753424657535
Utah	0.0020714421613394216
Vermont	0.0018330796549974632
Virginia	0.0021805555555555554
Washington	0.0020983637747336377
West Virginia	0.0013971651445966514
Wisconsin	0.001799816083206494
Wyoming	0.0019323313039066464
