Paddington            ,             0.185689,             0.157463,          1177.038602,           930.878419,
Edgware Road          ,             0.204700,             0.165611,          1191.441337,           944.801064,
Marylebone            ,             0.215403,             0.164652,          1206.804255,           948.641793,
Baker Street          ,             0.234414,             0.157783,          1231.288906,           953.922796,
Regents Park          ,             0.233775,             0.148837,          1248.092097,           944.801064,
Charing Cross         ,             0.271317,             0.107141,          1298.021581,           896.791945,
Waterloo              ,             0.287293,             0.098354,          1325.386778,           873.267477,
Lalmbeth North        ,             0.299754,             0.091165,          1330.667781,           865.105927,
Elephant & Castle     ,             0.306783,             0.089887,          1360.433435,           849.262918,
Rickmasnworth         ,             0.028643,             0.269866,           488.220365,          1349.119339,
Croxley               ,             0.046076,             0.267260,           557.713564,          1384.766109,
Watford               ,             0.051737,             0.273191,           617.844985,          1418.972606,
Moor Park             ,             0.044099,             0.254050,           584.358625,          1321.754141,
Northwood             ,             0.050839,             0.247401,           608.843275,          1250.100532,
Northwood Hills       ,             0.057219,             0.241200,           646.290388,          1213.733625,
Pinner                ,             0.063689,             0.234191,           710.382561,          1187.448632,
North Harrow          ,             0.069530,             0.227272,           750.710220,          1162.603913,
West Harrow           ,             0.069710,             0.215500,           764.032751,          1134.518579,
Harrow on the Hill    ,             0.083369,             0.221790,           804.360410,          1135.238716,
Northwick Park        ,             0.102419,             0.221700,           842.527660,          1140.999810,
Preston Road          ,             0.135938,             0.221700,           892.217097,          1126.237006,
Wembley Park          ,             0.159302,             0.221431,           937.585714,          1088.429825,
Kingsbury             ,             0.150406,             0.229518,           935.785372,          1164.764324,
Queensbury            ,             0.144834,             0.234730,           918.142021,          1202.211436,
Canons Park           ,             0.140341,             0.239403,           899.058397,          1254.781421,
Stanmore              ,             0.135668,             0.243537,           880.694909,          1288.987918,
Neasden               ,             0.165592,             0.221610,          1004.558435,          1068.265995,
Dollis Hill           ,             0.173051,             0.218825,          1032.283701,          1059.264286,
Willesden Green       ,             0.178532,             0.211995,          1070.811018,          1050.982713,
Kilburn               ,             0.184823,             0.206244,          1108.618199,          1043.781345,
West Hampstead        ,             0.190484,             0.199864,          1137.423670,          1042.341071,
Finchley Road         ,             0.196505,             0.193753,          1157.947568,          1046.661892,
Swiss Cottage         ,             0.202975,             0.187193,          1182.432219,          1024.697720,
St Johns Wood         ,             0.215106,             0.174882,          1187.473176,           995.892249,
South Acton           ,             0.098106,             0.128064,           979.353647,           877.429749,
Chiswick Park         ,             0.091456,             0.117730,           967.111322,           846.823936,
Turnham Green         ,             0.102240,             0.106318,          1009.959460,           846.463868,
Gunnersbury           ,             0.091456,             0.099309,           960.270023,           821.619149,
Kew Gardens           ,             0.080134,             0.088166,           941.546467,           772.289780,
Richmond              ,             0.070698,             0.078191,           906.979901,           727.641299,
Stamford Brook        ,             0.107811,             0.100656,          1024.722264,           846.103799,
Ravenscourt Park      ,             0.118145,             0.094456,          1047.406573,           843.943389,
Hammersmith           ,             0.128300,             0.094097,          1075.491907,           834.941679,
Goldhawk Road         ,             0.127850,             0.117371,          1066.850266,           869.868313,
Latimer Road          ,             0.139442,             0.160235,          1090.254711,           913.436588,
Ladbroke Grove        ,             0.150046,             0.159696,          1104.297378,           924.958777,
Westbourne Park       ,             0.158403,             0.159606,          1116.899772,           936.841033,
Royal Oak             ,             0.168378,             0.159875,          1155.427090,           949.803495,
Bayswater             ,             0.177993,             0.143610,          1156.147226,           919.917819,
High Street Kensington,             0.172601,             0.114046,          1147.145517,           868.788108,
Earls Court           ,             0.172691,             0.094366,          1141.744491,           832.781269,
Barrons Court         ,             0.141240,             0.094366,          1102.497036,           823.419491,
West Kensington       ,             0.152742,             0.094456,          1117.259840,           825.939970,
West Brompton         ,             0.172332,             0.086638,          1135.623328,           820.178875,
Fulham Broadway       ,             0.173230,             0.077023,          1137.423670,           795.694225,
Parsons Green         ,             0.172871,             0.067767,          1125.181345,           773.730053,
Putney Bridge         ,             0.173051,             0.059050,          1110.778609,           748.525266,
East Putney           ,             0.173051,             0.045122,          1105.017515,           709.997948,
Southfields           ,             0.173500,             0.036136,          1118.340046,           664.989400,
Wimbledon Park        ,             0.173500,             0.027419,          1137.783739,           620.700988,
Wimbledon             ,             0.173410,             0.017714,          1118.340046,           581.453533,
Gloucester Road       ,             0.189046,             0.094366,          1165.509005,           838.182295,
South Kensington      ,             0.202525,             0.094366,          1178.111398,           839.622568,
Sloane Square         ,             0.220408,             0.094097,          1228.520973,           837.102090,
Victoria              ,             0.236134,             0.094456,          1260.206991,           848.624278,
St James Park         ,             0.252758,             0.094456,          1282.171163,           868.067971,
Westminster           ,             0.265878,             0.099398,          1299.814514,           877.789818,
Temple                ,             0.280435,             0.113237,          1326.459574,           905.515084,
Blackfriars           ,             0.286456,             0.119887,          1349.864020,           906.595289,
Mansion House         ,             0.300025,             0.126177,          1367.507371,           904.794947,
Cannon Street         ,             0.311168,             0.126447,          1380.109764,           902.994605,
Monument              ,             0.325366,             0.125997,          1391.992021,           899.393921,
Tower Hill            ,             0.335880,             0.125728,          1417.916945,           911.276178,
Aldgate               ,             0.343159,             0.130401,          1413.596125,           928.919529,
Aldgate East          ,             0.357627,             0.125908,          1435.200228,           941.881991,
Whitechapel           ,             0.374790,             0.126716,          1446.362348,           947.283017,
Shadwell              ,             0.373982,             0.114136,          1448.522758,           916.677204,
Wapping               ,             0.374611,             0.109283,          1452.843579,           888.591869,
Rotherhithe           ,             0.374431,             0.095534,          1460.765084,           873.468997,
Surrey Quays          ,             0.373892,             0.088974,          1476.968161,           841.422910,
New Cross Gate        ,             0.373712,             0.074866,          1491.010828,           782.011626,
New Cross             ,             0.386113,             0.074327,          1512.254863,           783.451900,
Stepney Green         ,             0.384945,             0.126896,          1474.447682,           955.924658,
Mile End              ,             0.393751,             0.126716,          1507.213906,           960.965616,
Bow Road              ,             0.401929,             0.125908,          1529.898214,           966.006573,
Great Portland Street ,             0.243772,             0.159246,          1256.966375,           952.684043,
Warren Street         ,             0.252668,             0.153136,          1267.768427,           948.003153,
Goodge Street         ,             0.252399,             0.145587,          1274.969795,           940.801786,
Euston Square         ,             0.262014,             0.159426,          1279.290616,           961.325684,
Farringdon            ,             0.292657,             0.149901,          1340.142173,           949.083359,
Aldersgate            ,             0.306585,             0.149451,          1360.306003,           941.161854,
Moorgate              ,             0.319256,             0.150530,          1380.829901,           937.201102,
Shoreditch            ,             0.374521,             0.137949,          1408.915236,           963.846163,
Morden                ,             0.229574,             0.011963,          1146.785448,           514.840881,
South Wimbledon       ,             0.234606,             0.017444,          1153.986816,           552.648062,
Colliers Wood         ,             0.240896,             0.022567,          1188.553381,           568.131003,
Tooting Broadway      ,             0.246468,             0.028318,          1204.756459,           595.856269,
Tooting Bec           ,             0.251320,             0.034518,          1225.280357,           624.301672,
Balham                ,             0.258060,             0.040269,          1243.283777,           655.267553,
Clapham South         ,             0.263901,             0.045841,          1249.765008,           691.274392,
Clapham Common        ,             0.269293,             0.051862,          1265.608017,           719.719795,
Clapham North         ,             0.275493,             0.057792,          1287.572188,           734.482599,
Stockwell             ,             0.280795,             0.063364,          1305.575608,           766.888754,
Oval                  ,             0.286097,             0.069205,          1322.858891,           800.735182,
Kennington            ,             0.293376,             0.076663,          1345.183131,           823.059422,
Borough               ,             0.314313,             0.099039,          1370.747986,           868.788108,
London Bridge         ,             0.314763,             0.108744,          1384.070517,           880.670365,
Old Street            ,             0.314134,             0.164189,          1379.749696,           970.687462,
Angel                 ,             0.301823,             0.164099,          1337.621695,           990.491223,
Essex Road            ,             0.319435,             0.174433,          1357.065388,          1025.417857,
Highbury & Islington  ,             0.316021,             0.185576,          1338.341831,          1050.622644,
Drayton Park          ,             0.307664,             0.194203,          1337.261626,          1067.185790,
Edgware               ,             0.203065,             0.242279,           943.346809,          1273.865046,
Burnt Oak             ,             0.209085,             0.236168,           964.950912,          1236.057865,
Colingdale            ,             0.215286,             0.230057,           997.717135,          1210.853078,
Heldon Central        ,             0.220947,             0.223228,          1058.208625,          1170.165350,
Brent Cross           ,             0.226968,             0.217207,          1084.853685,          1147.120973,
Golders Green         ,             0.232629,             0.210468,          1133.462918,          1128.037348,
Hampstead             ,             0.239099,             0.205166,          1176.671125,          1080.508321,
Belsize Park          ,             0.244311,             0.198606,          1207.997074,          1054.223328,
Chalk Farm            ,             0.250152,             0.192675,          1219.519263,          1041.260866,
Camden Town           ,             0.256982,             0.184497,          1254.805965,          1020.736968,
Kentish Town          ,             0.257161,             0.200673,          1259.846922,          1049.542439,
Tufnell Park          ,             0.257341,             0.213523,          1266.328153,          1085.189210,
Highgate              ,             0.257700,             0.227362,          1244.724050,          1148.201178,
Mornington Crescent   ,             0.251859,             0.171827,          1267.408359,           996.612386,
Euston                ,             0.257161,             0.164279,          1274.249658,           970.327394,
