State	LarcenyTheft
Alabama	0.003165969051243024
Alaska	0.0005636415525114156
Arizona	0.004687658548959919
Arkansas	0.002009576357179097
California	0.02035873287671233
Colorado	0.0033868911719939117
Connecticut	0.0015001902587519025
Delaware	0.000575152207001522
Florida	0.012539732369355657
Georgia	0.006870275240994419
Hawaii	0.0009377853881278539
Idaho	0.0006430111618467782
Illinois	0.006124968290208016
Indiana	0.003665366565195332
Iowa	0.0014649289700659563
Kansas	0.0018967529173008625
Kentucky	0.002041920345002537
Louisiana	0.0035668759512937596
Maine	0.0005075469304921359
Maryland	0.003089167935058346
Massachusetts	0.0023448122780314563
Michigan	0.00393531202435312
Minnesota	0.0029631532217148657
Mississippi	0.001656519533231862
Missouri	0.003908263571790969
Montana	0.0006664764079147641
Nebraska	0.0010143328259766616
Nevada	0.0014415588533739218
New Hampshire	0.00047773972602739725
New Jersey	0.003298611111111111
New Mexico	0.0016684741248097412
New York	0.007995402080162355
North Carolina	0.005736364789446982
North Dakota	0.0003769342973110096
Ohio	0.006443683409436834
Oklahoma	0.0022896689497716896
Oregon	0.002818271182141045
Pennsylvania	0.005269469812278032
Rhode Island	0.0004395294266869609
South Carolina	0.0036470065956367326
South Dakota	0.0003877156265854896
Tennessee	0.004447234906139016
Texas	0.01659122907153729
Utah	0.0020577118214104516
Vermont	0.00021917808219178083
Virginia	0.0039071220192795535
Washington	0.005153190005073567
West Virginia	0.0007293252156265854
Wisconsin	0.0024649606798579403
Wyoming	0.0002610350076103501
